Sec,connection
1,0
2,0
3,0.15
4,0.175
5,0.25
6,0.325
7,0.475
8,0.7
9,0.7
10,0.75
11,0.75
12,0.775
13,0.8
14,0.8
15,0.825
16,0.9
17,0.9
18,0.9
19,0.95
20,0.925
21,0.925
22,0.975
23,1
24,1
25,1
26,1.025
27,1.1
28,1.125
29,1.2
30,1.25
31,1.225
32,1.225
33,1.325
34,1.375
35,1.375
36,1.375
37,1.425
38,1.425
39,1.475
40,1.5
41,1.525
42,1.6
43,1.625
44,1.6
45,1.65
46,1.7
47,1.7
48,1.75
49,1.75
50,1.75
51,1.75
52,1.8
53,1.8
54,1.9
55,1.95
56,1.95
57,2
58,2.025
59,2.025
60,2.05
61,2.05
62,2.075
63,2.125
64,2.125
65,2.15
66,2.125
67,2.15
68,2.15
69,2.15
70,2.2
71,2.2
72,2.2
73,2.225
74,2.225
75,2.25
76,2.225
77,2.325
78,2.325
79,2.325
80,2.325
81,2.3
82,2.3
83,2.275
84,2.3
85,2.25
86,2.225
87,2.225
88,2.2
89,2.2
90,2.2
91,2.2
92,2.2
93,2.175
94,2.2
95,2.2
96,2.2
97,2.225
98,2.225
99,2.225
100,2.2
101,2.2
102,2.15
103,2.1
104,2.075
105,2.025
106,1.975
107,2
108,1.9
109,1.9
110,1.9
111,1.9
112,1.9
113,1.9
114,1.9
115,1.9
116,1.85
117,1.85
118,1.85
119,1.825
120,1.825
121,1.825
122,1.85
123,1.825
124,1.85
125,1.825
126,1.775
127,1.75
128,1.775
129,1.775
130,1.75
131,1.775
132,1.8
133,1.8
134,1.775
135,1.75
136,1.75
137,1.75
138,1.775
139,1.8
140,1.8
141,1.775
142,1.775
143,1.75
144,1.75
145,1.7
146,1.6
147,1.6
148,1.6
149,1.55
150,1.55
151,1.55
152,1.625
153,1.625
154,1.625
155,1.625
156,1.625
157,1.625
158,1.625
159,1.625
160,1.625
161,1.625
162,1.625
163,1.625
164,1.625
165,1.625
166,1.625
167,1.625
168,1.625
169,1.625
170,1.625
171,1.625
172,1.625
173,1.625
174,1.625
175,1.625
176,1.625
177,1.625
178,1.625
179,1.625
180,1.625
181,1.625
182,1.625
183,1.625
184,1.625
185,1.625
186,1.625
