Sec,Env
0,-34.6576016922118
1,-42.9849921709374
2,-20.2248454213942
3,-34.1544414780082
4,-34.1124860516918
5,-41.1240374511636
6,-41.4029439575927
7,-28.0322049469449
8,-25.1672083934634
9,-26.1070641735809
10,-29.0712577139644
11,-27.420579011148
12,-35.0434154555809
13,-33.151394296017
14,-27.4754381094483
15,-27.150218062962
16,-34.5736229141385
17,-30.9529349504453
18,-37.9969734440307
19,-38.3050325168873
20,-29.395334675055
21,-20.4432135082098
22,-26.1765097177451
23,-26.0896583641098
24,-26.2037252498676
25,-27.1223733035256
26,-28.180908897165
27,-25.8140219229
28,-20.7120915144923
29,-27.7293182613502
30,-25.3876755425378
31,-25.0059653763604
32,-31.465279129684
33,-24.2340847921013
34,-20.7739192844707
35,-23.6696822423847
36,-24.0364074353852
37,-27.4726863518115
38,-24.8576557172821
39,-21.9289037224125
40,-19.6163580758594
41,-19.2888980635432
42,-17.9445742563281
43,-19.5694969940428
44,-22.1080811857704
45,-20.0770063995084
46,-17.0311158562411
47,-16.4392527653008
48,-20.6735984433
49,-20.215069673657
50,-20.989855026933
51,-19.3444940813879
52,-17.7081839518878
53,-12.0987460251374
54,-14.3094753398863
55,-14.0592261327631
56,-12.4556016919113
57,-14.6289000286448
58,-13.5376424336789
59,-15.1770056300987
60,-16.8682177210854
61,-17.4753089056316
62,-16.633996015273
63,-15.7829110458902
64,-14.8892503902758
65,-13.9174504722178
66,-14.0229773010586
67,-12.307907454348
68,-11.7264925027661
69,-14.7972358599756
70,-17.4706424811654
71,-15.908237593834
72,-16.2039063694616
73,-16.9893287746977
74,-15.8098125146456
75,-15.0754064107289
76,-14.3293077416262
77,-16.6582386619553
78,-14.200639085733
79,-14.8342534483558
80,-12.952524220439
81,-15.1259775321724
82,-15.8406988210522
83,-18.1909764318905
84,-17.2276159838941
85,-15.3262083027307
86,-14.8659519862573
87,-14.2366082865683
88,-13.8032284119161
89,-13.3882170983112
90,-12.8080914325039
91,-13.9848968383975
92,-16.843933617943
93,-15.7701416670673
94,-14.8136625127001
95,-16.2734799545213
96,-15.8623562115279
97,-14.9093815228418
98,-16.427632977112
99,-23.5703969587686
100,-19.7253456487196
101,-21.9299513500055
102,-24.0581137885997
103,-24.2526404708997
104,-24.6248703182208
105,-24.9057787106013
106,-23.9049316737759
107,-22.2298075235037
108,-19.7791685606522
109,-19.2516385587325
110,-20.746425322133
111,-18.6282854816164
112,-21.675958936123
113,-21.2975690851573
114,-22.7863413318887
115,-24.0256416646419
116,-21.6555832598338
117,-22.9365408178813
118,-21.8397843704656
119,-24.0407370568004
120,-22.7841404314458
121,-24.0726396817928
122,-25.3587009236192
123,-26.0456632787395
124,-26.6144811049686
125,-21.2517664430324
126,-24.9660328997323
127,-25.9192476533294
128,-27.9970526772945
129,-23.3649642061212
130,-24.1821539381744
131,-24.2547256180821
132,-26.733524304384
133,-24.216730462041
134,-24.7991915167685
135,-23.1100895358662
136,-23.9700424273925
137,-26.8366509117033
138,-23.8308873712974
139,-24.8778474878089
140,-25.7315094672021
141,-23.1013687930182
142,-26.1985827689886
143,-23.9381327224928
144,-32.2621658115933
145,-30.1792545333762
146,-30.372766394507
147,-25.5667101108234
148,-25.3509368441071
149,-28.2275583799849
150,-31.6599887030057
151,-38.8953949450351
152,-36.947870109896
