Sec,sad
1,0
2,0
3,0.1
4,0.125
5,0.25
6,0.375
7,0.5
8,0.525
9,0.55
10,0.625
11,0.65
12,0.775
13,0.8
14,0.825
15,0.85
16,0.875
17,1.025
18,1.025
19,1.025
20,0.975
21,0.975
22,1
23,0.975
24,0.95
25,0.95
26,0.925
27,0.95
28,0.975
29,0.95
30,0.975
31,1
32,1.05
33,1.075
34,1.15
35,1.15
36,1.175
37,1.15
38,1.15
39,1.125
40,1.125
41,1.15
42,1.175
43,1.15
44,1.125
45,1.15
46,1.175
47,1.175
48,1.2
49,1.175
50,1.125
51,1.15
52,1.175
53,1.15
54,1.1
55,1.075
56,1.1
57,1.15
58,1.15
59,1.275
60,1.35
61,1.325
62,1.35
63,1.35
64,1.3
65,1.275
66,1.275
67,1.25
68,1.3
69,1.25
70,1.25
71,1.275
72,1.275
73,1.225
74,1.225
75,1.275
76,1.275
77,1.3
78,1.325
79,1.325
80,1.4
81,1.35
82,1.35
83,1.325
84,1.4
85,1.425
86,1.4
87,1.4
88,1.4
89,1.4
90,1.4
91,1.4
92,1.325
93,1.35
94,1.375
95,1.45
96,1.45
97,1.45
98,1.45
99,1.45
100,1.45
101,1.45
102,1.5
103,1.525
104,1.525
105,1.5
106,1.45
107,1.45
108,1.5
109,1.55
110,1.525
111,1.525
112,1.525
113,1.525
114,1.525
115,1.525
116,1.525
117,1.55
118,1.5
119,1.525
120,1.55
121,1.525
122,1.525
123,1.55
124,1.55
125,1.55
126,1.5
127,1.525
128,1.525
129,1.475
130,1.475
131,1.45
132,1.45
133,1.425
134,1.425
135,1.4
136,1.375
137,1.375
138,1.375
139,1.325
140,1.275
141,1.225
142,1.225
143,1.15
144,1.1
145,1.075
146,1.1
147,1.125
148,1.1
149,1.1
150,1.125
151,1.1
152,1.1
153,1.025
154,1
155,1
156,0.975
157,0.975
158,0.975
159,0.975
160,0.95
161,0.975
162,0.95
163,0.95
164,0.95
165,0.95
166,0.95
167,0.975
168,0.925
169,1.025
170,1.3
171,1.3
172,1.3
173,1.3
174,1.3
175,1.3
176,1.3
177,1.3
178,1.3
179,1.3
180,1.3
181,1.3
182,1.3
183,1.3
184,1.3
185,1.3
186,1.3
